Mls.MLS Freq	Mls.Ch.1 Ampl 	Mls.Ch.1 Phase
Source 1	Data 1	Data 2
Hz	dBV	deg
55.87453845	-46.10654016	1.494140625
56.63498505	-45.67053033	1.0546875
57.40578124	-45.67053033	1.0546875
58.18706789	-45.24207152	0.52734375
58.97898777	-45.24207152	0.52734375
59.78168559	-44.81784534	0
60.59530805	-44.81784534	0
61.42000382	-44.40131134	-0.615234375
62.25592361	-44.40131134	-0.615234375
63.10322019	-43.99031023	-1.23046875
63.96204838	-43.58808292	-1.889648438
64.83256514	-43.58808292	-1.889648438
65.71492953	-43.19018524	-2.548828125
66.60930282	-43.19018524	-2.548828125
67.51584843	-42.80036392	-3.295898438
68.43473203	-42.41710415	-3.999023438
69.36612154	-42.41710415	-3.999023438
70.31018716	-42.04227797	-4.790039063
71.26710141	-41.67319459	-5.537109375
72.23703917	-41.67319459	-5.537109375
73.22017768	-41.31230385	-6.372070313
74.2166966	-40.9566005	-7.163085938
75.22677804	-40.9566005	-7.163085938
76.25060658	-40.60973105	-7.998046875
77.28836932	-40.2686876	-8.876953125
78.34025591	-40.2686876	-8.876953125
79.40645855	-39.935657	-9.755859375
80.48717211	-39.60807244	-10.63476563
81.58259406	-39.2892284	-11.51367188
82.69292459	-39.2892284	-11.51367188
83.8183666	-38.9753042	-12.39257813
84.95912576	-38.66921436	-13.31542969
86.11541053	-38.36841798	-14.23828125
87.28743221	-38.0754879	-15.16113281
88.47540499	-38.0754879	-15.16113281
89.67954595	-37.78800515	-16.08398438
90.90007514	-37.50722801	-17.00683594
92.13721561	-37.23210241	-17.97363281
93.39119343	-36.96417862	-18.89648438
94.66223776	-36.70104887	-19.86328125
95.95058086	-36.44461338	-20.78613281
97.25645818	-36.44461338	-20.78613281
98.58010835	-36.19299848	-21.75292969
99.92177326	-35.94809825	-22.67578125
101.2816981	-35.70775777	-23.64257813
102.6601314	-35.47388891	-24.609375
104.057325	-35.2444487	-25.53222656
105.4735342	-35.02102424	-26.45507813
106.9090179	-34.8018	-27.421875
108.3640384	-34.58860462	-28.34472656
109.8388616	-34.37938621	-29.26757813
111.3337569	-34.17589224	-30.19042969
112.8489977	-33.97646799	-31.15722656
114.3848607	-33.7823835	-32.03613281
115.9416266	-33.59179008	-32.95898438
117.51958	-33.40657573	-33.88183594
119.1190091	-33.22495849	-34.76074219
120.7402063	-33.0481193	-35.68359375
122.3834678	-32.70616033	-37.44140625
124.0490939	-32.54064102	-38.3203125
125.737389	-32.37960499	-39.15527344
127.4486617	-32.22190122	-40.03417969
129.1832246	-32.06811259	-40.86914063
130.9413947	-31.91723184	-41.70410156
132.7234933	-31.62618165	-43.37402344
134.5298461	-31.4860387	-44.16503906
136.3607832	-31.34826606	-44.95605469
138.2166391	-31.21385834	-45.74707031
140.097753	-30.95348158	-47.32910156
142.0044687	-30.82705058	-48.07617188
143.9371346	-30.70398195	-48.82324219
145.8961039	-30.46439631	-50.31738281
147.8817345	-30.34768318	-51.02050781
149.8943894	-30.2340482	-51.72363281
151.9344363	-30.01238668	-53.12988281
154.002248	-29.90413295	-53.7890625
156.0982024	-29.69410792	-55.15136719
158.2226825	-29.59173964	-55.81054688
160.3760766	-29.49056379	-56.42578125
162.5587781	-29.29351186	-57.70019531
164.771186	-29.19731658	-58.31542969
167.0137045	-29.00817504	-59.50195313
169.2867435	-28.82393211	-60.64453125
171.5907183	-28.73309479	-61.21582031
173.9260499	-28.55506244	-62.35839844
176.2931651	-28.46739624	-62.88574219
178.6924966	-28.29477647	-63.984375
181.1244827	-28.12502019	-65.0390625
183.5895679	-28.04117198	-65.56640625
186.0882026	-27.87557374	-66.57714844
188.6208435	-27.71259656	-67.58789063
191.1879533	-27.55187172	-68.5546875
193.7900013	-27.47251817	-69.03808594
196.4274628	-27.31522412	-70.00488281
199.1008199	-27.1602802	-70.97167969
201.8105611	-27.00761195	-71.89453125
204.5571817	-26.8572349	-72.86132813
207.3411834	-26.70916201	-73.78417969
210.1630751	-26.63610368	-74.26757813
213.0233725	-26.49197092	-75.19042969
215.9225982	-26.35059876	-76.11328125
218.861282	-26.21197247	-77.03613281
221.8399611	-26.0763143	-77.95898438
224.8591796	-25.87830245	-79.32128906
227.9194894	-25.75053489	-80.24414063
231.0214497	-25.62589524	-81.12304688
234.1656274	-25.50472081	-82.04589844
237.352597	-25.38689265	-82.92480469
240.5829408	-25.27244265	-83.84765625
243.8572494	-25.16133047	-84.7265625
247.1761209	-25.00112285	-86.04492188
250.5401619	-24.89837442	-86.92382813
253.9499872	-24.79866921	-87.75878906
257.4062198	-24.65481454	-89.03320313
260.9094914	-24.56243118	-89.86816406
264.4604422	-24.42900678	-91.09863281
268.059721	-24.34299493	-91.88964844
271.7079856	-24.25923698	-92.72460938
275.4059027	-24.13749755	-93.8671875
279.1541481	-24.01968606	-95.00976563
282.9534067	-23.94342492	-95.75683594
286.8043729	-23.83149481	-96.89941406
290.7077502	-23.75843475	-97.60253906
294.6642521	-23.65123955	-98.70117188
298.6746016	-23.54665058	-99.75585938
302.7395316	-23.44470704	-100.8105469
306.8597848	-23.37840754	-101.5136719
311.0361142	-23.28127252	-102.5683594
315.269283	-23.18725181	-103.6230469
319.5600648	-23.09704197	-104.6777344
323.9092437	-23.01075777	-105.7324219
328.3176144	-22.9290625	-106.7871094
332.7859827	-22.85238088	-107.7978516
337.3151649	-22.78123675	-108.8525391
