Mls.MLS Freq	Mls.Ch.1 Ampl 	Mls.Ch.1 Phase
Source 1	Data 1	Data 2
Hz	dBV	deg
56.63498505	-43.77571731	-2.900390625
57.40578124	-43.77571731	-2.900390625
58.18706789	-43.36759472	-3.735351563
58.97898777	-43.36759472	-3.735351563
59.78168559	-42.96783828	-4.5703125
60.59530805	-42.96783828	-4.5703125
61.42000382	-42.57384901	-5.44921875
62.25592361	-42.57384901	-5.44921875
63.10322019	-42.18678733	-6.328125
63.96204838	-41.81043462	-7.20703125
64.83256514	-41.81043462	-7.20703125
65.71492953	-41.43835353	-8.129882813
66.60930282	-41.43835353	-8.129882813
67.51584843	-41.0744459	-9.052734375
68.43473203	-40.71834649	-10.01953125
69.36612154	-40.71834649	-10.01953125
70.31018716	-40.36869039	-10.98632813
71.26710141	-40.02744453	-11.90917969
72.23703917	-40.02744453	-11.90917969
73.22017768	-39.69056999	-12.91992188
74.2166966	-39.36280728	-13.88671875
75.22677804	-39.36280728	-13.88671875
76.25060658	-39.04168791	-14.89746094
77.28836932	-38.72642112	-15.86425781
78.34025591	-38.72642112	-15.86425781
79.40645855	-38.42006959	-16.875
80.48717211	-38.11941128	-17.88574219
81.58259406	-37.82499094	-18.89648438
82.69292459	-37.82499094	-18.89648438
83.8183666	-37.53815352	-19.90722656
84.95912576	-37.25719282	-20.91796875
86.11541053	-36.98198418	-21.97265625
87.28743221	-36.71509376	-22.98339844
88.47540499	-36.71509376	-22.98339844
89.67954595	-36.45322309	-23.99414063
90.90007514	-36.19654575	-25.04882813
92.13721561	-35.94735943	-26.05957031
93.39119343	-35.70332702	-27.0703125
94.66223776	-35.46584734	-28.08105469
95.95058086	-35.23332705	-29.09179688
97.25645818	-35.23332705	-29.09179688
98.58010835	-35.00686937	-30.14648438
99.92177326	-34.78519671	-31.15722656
101.2816981	-34.5698814	-32.12402344
102.6601314	-34.35926191	-33.13476563
104.057325	-34.15443023	-34.14550781
105.4735342	-33.95421996	-35.11230469
106.9090179	-33.75947784	-36.12304688
108.3640384	-33.56938092	-37.08984375
109.8388616	-33.38418042	-38.05664063
111.3337569	-33.20320555	-39.0234375
112.8489977	-33.02785993	-39.99023438
114.3848607	-32.85641546	-40.91308594
115.9416266	-32.68905111	-41.87988281
117.51958	-32.52617936	-42.80273438
119.1190091	-32.36801782	-43.72558594
120.7402063	-32.21332565	-44.60449219
122.3834678	-31.91599319	-46.40625
124.0490939	-31.77387591	-47.28515625
125.737389	-31.63397162	-48.1640625
127.4486617	-31.49835059	-48.99902344
129.1832246	-31.36612243	-49.83398438
130.9413947	-31.23723721	-50.66894531
132.7234933	-30.98882215	-52.29492188
134.5298461	-30.86901297	-53.0859375
136.3607832	-30.75212018	-53.87695313
138.2166391	-30.6376482	-54.62402344
140.097753	-30.41710579	-56.11816406
142.0044687	-30.31054024	-56.86523438
143.9371346	-30.20577488	-57.56835938
145.8961039	-30.00331382	-58.97460938
147.8817345	-29.90523832	-59.63378906
149.8943894	-29.80850079	-60.29296875
151.9344363	-29.62033841	-61.56738281
154.002248	-29.52894013	-62.18261719
156.0982024	-29.3492096	-63.41308594
158.2226825	-29.26140428	-64.02832031
160.3760766	-29.17459062	-64.59960938
162.5587781	-29.00385593	-65.69824219
164.771186	-28.91956636	-66.26953125
167.0137045	-28.75340211	-67.32421875
169.2867435	-28.5896181	-68.33496094
171.5907183	-28.50850382	-68.81835938
173.9260499	-28.34758897	-69.78515625
176.2931651	-28.26726946	-70.26855469
178.6924966	-28.10792601	-71.23535156
181.1244827	-27.94939361	-72.11425781
183.5895679	-27.87032482	-72.59765625
186.0882026	-27.71297826	-73.4765625
188.6208435	-27.55618183	-74.35546875
191.1879533	-27.4002324	-75.234375
