//single phase coef Number:=16,    upsample factor:=160,     downsample factor:=147
  -28, -314,  442,  145, -683, 2390,-5602,19081,21249,-5314, 2007, -380,  -57,  546, -325,  -37,
  -27, -313,  433,  163, -709, 2419,-5616,18876,21438,-5276, 1967, -350,  -76,  555, -326,  -38,
  -26, -312,  423,  181, -733, 2447,-5628,18670,21625,-5235, 1926, -320,  -95,  564, -327,  -39,
  -25, -310,  413,  198, -758, 2474,-5639,18463,21810,-5193, 1884, -290, -114,  573, -327,  -40,
  -25, -309,  404,  216, -782, 2501,-5647,18255,21993,-5148, 1841, -259, -133,  582, -328,  -41,
  -24, -307,  394,  233, -805, 2526,-5654,18046,22175,-5102, 1797, -228, -153,  591, -328,  -42,
  -23, -306,  385,  250, -828, 2551,-5659,17835,22355,-5053, 1752, -196, -172,  600, -328,  -43,
  -22, -304,  375,  267, -851, 2574,-5662,17625,22534,-5002, 1707, -164, -191,  609, -329,  -44,
  -22, -303,  365,  283, -873, 2596,-5663,17413,22710,-4949, 1660, -132, -211,  618, -329,  -45,
  -21, -301,  356,  300, -895, 2618,-5662,17200,22885,-4894, 1613, -100, -230,  627, -329,  -46,
  -21, -300,  346,  316, -916, 2639,-5660,16986,23058,-4836, 1565,  -67, -250,  636, -329,  -47,
  -20, -298,  337,  332, -937, 2658,-5656,16772,23229,-4777, 1516,  -34, -269,  644, -330,  -49,
  -19, -296,  327,  348, -957, 2677,-5650,16557,23398,-4715, 1466,   -1, -288,  653, -330,  -50,
  -19, -294,  317,  364, -977, 2695,-5642,16341,23565,-4652, 1416,   32, -308,  661, -329,  -51,
  -18, -293,  308,  380, -996, 2712,-5633,16125,23730,-4586, 1364,   66, -328,  670, -329,  -52,
  -18, -291,  298,  395,-1015, 2727,-5622,15908,23893,-4518, 1312,  100, -347,  678, -329,  -53,
  -17, -289,  289,  411,-1034, 2742,-5609,15690,24054,-4447, 1259,  134, -367,  686, -329,  -54,
  -16, -287,  279,  426,-1051, 2756,-5594,15472,24213,-4375, 1205,  169, -386,  694, -329,  -56,
  -16, -285,  270,  441,-1069, 2769,-5578,15254,24370,-4300, 1151,  203, -406,  702, -328,  -57,
  -15, -283,  261,  455,-1086, 2782,-5561,15035,24524,-4224, 1095,  238, -425,  710, -328,  -58,
  -15, -281,  251,  470,-1103, 2793,-5541,14815,24677,-4145, 1039,  273, -444,  718, -327,  -60,
  -14, -279,  242,  484,-1119, 2803,-5520,14595,24827,-4064,  982,  309, -464,  726, -327,  -61,
  -14, -277,  233,  499,-1134, 2812,-5498,14375,24975,-3980,  925,  344, -483,  733, -326,  -62,
  -13, -275,  223,  512,-1149, 2821,-5474,14155,25120,-3895,  867,  380, -503,  741, -325,  -64,
  -13, -273,  214,  526,-1164, 2828,-5448,13934,25264,-3807,  808,  415, -522,  748, -324,  -65,
  -13, -271,  205,  540,-1178, 2835,-5421,13713,25405,-3718,  748,  451, -541,  756, -323,  -66,
  -12, -269,  196,  553,-1192, 2841,-5393,13492,25543,-3626,  688,  487, -560,  763, -322,  -68,
  -12, -267,  186,  566,-1205, 2845,-5363,13270,25679,-3531,  627,  524, -579,  770, -321,  -69,
  -11, -265,  177,  579,-1217, 2849,-5332,13049,25813,-3435,  565,  560, -598,  777, -320,  -71,
  -11, -263,  168,  592,-1230, 2852,-5299,12827,25945,-3337,  503,  596, -617,  784, -319,  -72,
  -11, -261,  159,  604,-1241, 2854,-5265,12606,26074,-3236,  440,  633, -636,  790, -318,  -74,
  -10, -258,  150,  616,-1252, 2856,-5229,12384,26200,-3133,  377,  669, -655,  797, -316,  -75,
  -10, -256,  142,  628,-1263, 2856,-5192,12163,26324,-3028,  313,  706, -674,  803, -315,  -77,
   -9, -254,  133,  640,-1273, 2855,-5154,11941,26445,-2921,  248,  743, -692,  810, -313,  -78,
   -9, -252,  124,  651,-1283, 2854,-5114,11720,26564,-2812,  183,  780, -711,  816, -312,  -80,
   -9, -250,  115,  663,-1292, 2852,-5074,11499,26681,-2700,  117,  816, -729,  822, -310,  -81,
   -8, -247,  107,  674,-1301, 2849,-5032,11278,26794,-2587,   51,  853, -747,  828, -308,  -83,
   -8, -245,   98,  685,-1309, 2845,-4988,11057,26905,-2471,  -16,  890, -765,  833, -306,  -85,
   -8, -243,   90,  695,-1317, 2840,-4944,10837,27014,-2354,  -83,  927, -783,  839, -304,  -86,
   -7, -240,   81,  706,-1324, 2834,-4898,10617,27119,-2234, -150,  964, -801,  844, -302,  -88,
   -7, -238,   73,  716,-1331, 2828,-4851,10397,27222,-2112, -219, 1001, -818,  849, -300,  -90,
   -7, -236,   64,  726,-1338, 2821,-4803,10177,27323,-1988, -287, 1038, -836,  855, -298,  -91,
   -7, -234,   56,  735,-1343, 2813,-4754, 9959,27420,-1861, -356, 1075, -853,  859, -295,  -93,
