//single phase coef Number:=24,    upsample factor:=160,     downsample factor:=147
   10, -174,  -53,  107, -221,  395, -650, 1024,-1606, 2641,-5198,29724, 8472,-3578, 2139,-1424,  990, -698,  492, -345,  241, -264,  -25,    3,
   10, -172,  -58,  113, -229,  407, -667, 1049,-1642, 2696,-5293,29582, 8738,-3673, 2192,-1457, 1011, -712,  501, -350,  243, -264,  -26,    3,
   10, -170,  -62,  118, -237,  418, -683, 1073,-1677, 2749,-5384,29435, 9004,-3766, 2244,-1490, 1032, -725,  509, -355,  246, -264,  -27,    3,
   10, -168,  -66,  124, -245,  430, -700, 1096,-1711, 2802,-5473,29285, 9272,-3859, 2295,-1522, 1053, -739,  518, -359,  248, -263,  -28,    4,
   10, -166,  -70,  129, -253,  441, -716, 1119,-1744, 2852,-5558,29132, 9541,-3952, 2346,-1554, 1074, -752,  526, -364,  251, -263,  -29,    4,
   10, -164,  -75,  135, -261,  452, -732, 1142,-1777, 2902,-5641,28975, 9810,-4043, 2397,-1585, 1094, -765,  534, -369,  253, -263,  -30,    4,
   10, -162,  -79,  140, -268,  463, -747, 1164,-1809, 2950,-5720,28815,10080,-4134, 2446,-1616, 1114, -778,  541, -373,  255, -263,  -31,    4,
   10, -160,  -83,  145, -276,  473, -762, 1185,-1839, 2996,-5796,28652,10351,-4224, 2496,-1647, 1133, -790,  549, -377,  258, -262,  -32,    4,
   10, -158,  -87,  150, -283,  484, -777, 1206,-1869, 3041,-5870,28485,10623,-4313, 2544,-1677, 1153, -802,  556, -382,  260, -262,  -34,    4,
   10, -156,  -91,  155, -290,  494, -791, 1226,-1899, 3085,-5940,28315,10895,-4401, 2592,-1706, 1172, -814,  564, -386,  262, -262,  -35,    4,
   10, -154,  -95,  160, -297,  504, -805, 1246,-1927, 3127,-6007,28142,11168,-4488, 2639,-1735, 1190, -826,  571, -390,  264, -261,  -36,    4,
   10, -152, -100,  165, -304,  513, -818, 1265,-1954, 3168,-6072,27965,11441,-4574, 2685,-1764, 1208, -837,  578, -393,  266, -261,  -37,    4,
   10, -150, -104,  170, -311,  523, -831, 1283,-1980, 3207,-6133,27785,11715,-4659, 2730,-1792, 1226, -849,  585, -397,  267, -260,  -38,    4,
   10, -148, -108,  175, -317,  532, -844, 1301,-2006, 3244,-6191,27603,11989,-4742, 2775,-1819, 1244, -860,  591, -401,  269, -259,  -40,    5,
   10, -146, -111,  179, -324,  541, -857, 1318,-2031, 3281,-6246,27417,12264,-4825, 2819,-1846, 1261, -870,  597, -404,  271, -259,  -41,    5,
   10, -144, -115,  184, -330,  550, -869, 1335,-2054, 3315,-6299,27228,12539,-4906, 2862,-1873, 1277, -881,  604, -408,  272, -258,  -42,    5,
   10, -142, -119,  188, -336,  558, -880, 1351,-2077, 3348,-6348,27036,12814,-4986, 2904,-1898, 1294, -891,  610, -411,  274, -257,  -44,    5,
   10, -140, -123,  192, -342,  566, -891, 1367,-2099, 3380,-6394,26841,13090,-5065, 2946,-1923, 1309, -901,  615, -414,  275, -256,  -45,    5,
   10, -138, -127,  197, -348,  574, -902, 1382,-2120, 3410,-6438,26643,13365,-5143, 2986,-1948, 1325, -910,  621, -417,  276, -255,  -46,    5,
   10, -136, -131,  201, -353,  582, -913, 1396,-2140, 3439,-6479,26443,13641,-5219, 3026,-1972, 1340, -920,  626, -420,  277, -254,  -48,    5,
   10, -134, -134,  205, -359,  589, -923, 1410,-2159, 3466,-6516,26239,13916,-5294, 3064,-1995, 1354, -929,  632, -422,  278, -253,  -49,    5,
   10, -132, -138,  209, -364,  596, -932, 1423,-2177, 3492,-6551,26033,14192,-5367, 3102,-2018, 1369, -937,  637, -425,  279, -252,  -50,    5,
   10, -130, -142,  213, -369,  603, -942, 1436,-2194, 3516,-6583,25824,14468,-5439, 3139,-2040, 1382, -946,  641, -427,  280, -251,  -52,    5,
   10, -128, -145,  217, -374,  610, -950, 1447,-2211, 3538,-6612,25612,14743,-5509, 3174,-2061, 1395, -954,  646, -429,  281, -250,  -53,    6,
   10, -126, -149,  220, -379,  616, -959, 1459,-2226, 3559,-6638,25398,15018,-5578, 3209,-2082, 1408, -961,  650, -431,  282, -248,  -55,    6,
