//single phase coef Number:=28,    upsample factor:=160,     downsample factor:=147
   -6, -169,  -44,   95, -174,  293, -463,  698,-1025, 1494,-2214, 3483,-6489,26166,14033,-5449, 3248,-2197, 1562,-1132,  822, -590,  417, -289,  203, -176,  -97,    1,
   -5, -167,  -48,   99, -179,  299, -471,  708,-1038, 1511,-2236, 3512,-6528,25964,14306,-5519, 3284,-2218, 1576,-1141,  827, -593,  418, -289,  203, -174,  -98,    1,
   -5, -166,  -51,  102, -183,  305, -478,  718,-1051, 1527,-2257, 3541,-6564,25758,14578,-5588, 3318,-2238, 1589,-1149,  832, -596,  419, -289,  202, -172, -100,    1,
   -5, -164,  -54,  106, -188,  311, -486,  728,-1063, 1543,-2278, 3568,-6597,25551,14850,-5656, 3352,-2258, 1601,-1156,  836, -598,  420, -289,  201, -170, -101,    1,
   -5, -163,  -57,  109, -192,  317, -493,  737,-1075, 1558,-2297, 3593,-6628,25340,15121,-5722, 3384,-2277, 1613,-1164,  840, -600,  420, -289,  201, -168, -103,    1,
   -4, -162,  -61,  113, -197,  322, -500,  746,-1086, 1572,-2316, 3617,-6655,25128,15393,-5786, 3415,-2295, 1624,-1170,  844, -602,  421, -288,  200, -166, -104,    1,
   -4, -160,  -64,  116, -201,  328, -507,  755,-1097, 1586,-2333, 3639,-6680,24912,15664,-5849, 3446,-2313, 1635,-1177,  848, -604,  421, -288,  199, -164, -106,    1,
   -4, -159,  -67,  120, -205,  333, -514,  763,-1108, 1599,-2350, 3660,-6702,24694,15934,-5910, 3475,-2330, 1645,-1183,  851, -605,  422, -287,  198, -162, -107,    1,
   -4, -157,  -70,  123, -209,  338, -520,  771,-1118, 1612,-2365, 3679,-6721,24474,16205,-5969, 3502,-2345, 1654,-1188,  854, -606,  422, -287,  197, -160, -108,    0,
   -3, -156,  -73,  126, -213,  343, -527,  779,-1127, 1624,-2380, 3697,-6738,24252,16474,-6026, 3529,-2360, 1663,-1193,  857, -608,  422, -286,  195, -157, -110,    0,
   -3, -154,  -76,  129, -217,  348, -533,  786,-1137, 1635,-2394, 3713,-6752,24027,16743,-6082, 3555,-2375, 1671,-1198,  859, -608,  422, -285,  194, -155, -111,    0,
   -3, -153,  -80,  132, -221,  353, -539,  793,-1145, 1645,-2406, 3727,-6763,23800,17011,-6136, 3579,-2388, 1679,-1202,  861, -609,  421, -285,  193, -153, -113,    0,
   -3, -151,  -83,  136, -224,  358, -544,  800,-1153, 1655,-2418, 3741,-6771,23570,17279,-6187, 3602,-2401, 1686,-1206,  863, -609,  421, -284,  192, -151, -114,    0,
   -3, -150,  -86,  139, -228,  362, -550,  807,-1161, 1664,-2429, 3752,-6777,23339,17546,-6237, 3624,-2412, 1692,-1210,  864, -609,  420, -282,  190, -148, -116,    0,
   -2, -149,  -89,  141, -231,  366, -555,  813,-1168, 1673,-2438, 3762,-6780,23105,17812,-6285, 3644,-2423, 1698,-1212,  865, -609,  419, -281,  189, -146, -117,    0,
   -2, -147,  -92,  144, -235,  370, -560,  819,-1175, 1681,-2447, 3771,-6781,22870,18077,-6331, 3664,-2433, 1704,-1215,  866, -609,  419, -280,  187, -144, -119,    0,
   -2, -146,  -95,  147, -238,  374, -564,  824,-1181, 1688,-2455, 3778,-6779,22632,18341,-6375, 3682,-2442, 1708,-1217,  867, -609,  417, -279,  185, -141, -120,    0,
   -2, -144,  -98,  150, -241,  378, -569,  829,-1187, 1694,-2462, 3784,-6774,22393,18604,-6417, 3698,-2450, 1712,-1219,  867, -608,  416, -277,  184, -139, -122,    0,
   -2, -143, -101,  153, -245,  382, -573,  834,-1193, 1700,-2468, 3788,-6767,22151,18866,-6456, 3714,-2457, 1716,-1220,  866, -607,  415, -275,  182, -136, -123,    0,
   -2, -141, -103,  155, -247,  385, -577,  839,-1198, 1705,-2472, 3791,-6757,21908,19127,-6494, 3728,-2464, 1718,-1220,  866, -606,  413, -274,  180, -134, -125,    0,
   -2, -140, -106,  158, -250,  389, -581,  843,-1202, 1710,-2476, 3793,-6745,21663,19387,-6529, 3741,-2469, 1720,-1221,  865, -604,  411, -272,  178, -131, -126,    0,
   -1, -138, -109,  160, -253,  392, -584,  847,-1206, 1714,-2479, 3792,-6731,21416,19645,-6562, 3752,-2474, 1722,-1220,  864, -602,  409, -270,  176, -128, -128,   -1,
